layer,lens_top1_agreement,excess_kurtosis,pos_autocorr_dlogp,effective_dim_pr
0,0.0009066183136899365,1.3330076637856008,0.6927038695957048,30.444616317749023
1,0.00045330915684496827,1.422664701128049,1.3893916803603807,27.029979705810547
2,0.0009066183136899365,1.909757010631959,1.6357717367052924,25.20701026916504
3,0.00045330915684496827,1.4784723041496382,1.6949528186621714,41.208404541015625
4,0.003626473254759746,1.5877496091647247,2.892081598747025,42.99462127685547
5,0.01314596554850408,1.0353865428934936,3.38578413187755,40.264041900634766
6,0.023118766999093383,0.6185240274327296,2.976396437893104,38.99629592895508
7,0.01813236627379873,0.8260967223512402,2.849680481233709,40.27830505371094
8,0.016319129646418858,0.7894650214602487,3.068449018656505,42.943023681640625
9,0.009972801450589302,0.6555307151400167,4.263018029663418,38.077640533447266
10,0.004533091568449683,0.5936322839067724,4.738337913644606,41.28361511230469
11,0.0058930190389845875,0.5280213222002184,4.521557196637013,34.7128791809082
12,0.017225747960108794,0.44767266236319936,4.070842504285188,38.032466888427734
13,0.03127833182230281,0.36601696636929687,4.509775391731711,40.67423629760742
14,0.03309156844968268,0.2671140418307736,4.484568259549595,44.23787307739258
15,0.043517679057116954,0.2518359856073789,4.662231694322657,38.03349685668945
16,0.07252946509519492,0.2833324304409494,5.509104613704457,53.84409713745117
17,0.06391659111514053,0.2986914236115415,6.091493469957644,55.539310455322266
18,0.05893019038984588,0.32087142923585094,7.004947306130652,90.25138092041016
19,0.06754306436990028,0.4172279050105934,6.648485365285726,133.12661743164062
20,0.1056210335448776,0.49628256886846245,6.042856972107321,144.85028076171875
21,0.16228467815049863,0.554293661039738,5.681002052286378,153.67193603515625
22,0.2198549410698096,0.5890813535273561,4.8568396892530314,185.43365478515625
23,0.2756119673617407,0.6802945003008043,4.963987044388882,184.43455505371094
24,0.3445149592021759,0.636927024516212,4.521107484293546,210.74417114257812
25,0.4220308250226655,0.5125400494794249,3.8327273163920843,252.16006469726562
26,0.5956482320942883,0.41435526331662054,2.3573457332275614,43.0947265625
